Symbol,Name,Price,P/E,P/B,P/S,Volume,EV/EBITDA,EV/Gross_Profit,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/Gross_Profit Percentile,RV Score
AMKR,"Amkor Technology, Inc.",26.6,8.39601414,1.74494654,0.90683177,1267653,4.127074326042726,4.685323991888643,29.953917050691246,50.69124423963134,37.78801843317972,17.51152073732719,45.16129032258065,36.22119815668203
CXW,"CoreCivic, Inc.",10.14,9.40699247,0.7818884500000001,0.62862206,1133161,8.454500274818406,8.460236273634774,34.56221198156682,12.442396313364055,25.34562211981567,45.6221198156682,67.28110599078342,37.05069124423963
SD,"SandRidge Energy, Inc.",15.58,3.1922617,2.23498598,3.2993536900000002,436879,1.9593186340500621,3.397628348214285,4.608294930875576,62.672811059907836,79.26267281105991,6.912442396313364,31.797235023041473,37.05069124423963
HPE,Hewlett Packard Enterprise Company,15.28,24.11700638,0.9995717999999999,0.72900953,22208996,6.787950257289879,3.58742209631728,67.28110599078342,19.81566820276498,29.493087557603687,34.10138248847926,35.02304147465438,37.142857142857146
WOOF,"Petco Health and Wellness Company, Inc.",10.32,31.10704483,1.18854799,0.46542212,1616738,7.661419416597973,2.374695562945838,80.18433179723502,29.493087557603687,17.05069124423963,39.1705069124424,20.737327188940093,37.327188940092164
DVAX,Dynavax Technologies Corporation,10.44,5.17355288,2.23576566,2.12418648,1206344,4.282581765398249,2.709921177773435,15.668202764976959,63.133640552995395,65.43778801843318,18.433179723502302,26.267281105990783,37.78801843317972
MLKN,"MillerKnoll, Inc.",25.16,23.11221564,1.28472421,0.44830561,503755,9.581557260585393,2.492607377836918,66.82027649769586,33.64055299539171,15.2073732718894,52.07373271889401,23.04147465437788,38.15668202764977
SBH,"Sally Beauty Holdings, Inc. (Name to be changed from Sally Holdings, Inc.)",16.08,10.55625372,5.81414411,0.46134092,955749,6.692519305880045,1.6502868438817262,38.70967741935484,92.16589861751152,16.589861751152075,33.17972350230415,10.599078341013826,38.24884792626728
ESTE,"Earthstone Energy, Inc.",15.14,4.1153542,1.39485636,1.73433608,1492103,3.073923780232289,13.357626831540612,8.755760368663594,38.70967741935484,56.22119815668203,10.599078341013826,78.3410138248848,38.525345622119815
MRO,Marathon Oil Corporation,26.53,5.02735188,1.44961827,2.37807692,7614575,4.323288186606471,5.402585801598495,14.285714285714286,41.013824884792626,70.50691244239631,18.89400921658986,50.23041474654378,38.986175115207374
INVA,"Innoviva, Inc.",10.99,5.37814299,1.33658614,3.01615079,1147474,5.490712558418162,3.997152541068502,17.51152073732719,36.40552995391705,77.41935483870968,25.34562211981567,38.24884792626728,38.986175115207374
SCS,Steelcase Inc.,8.32,54.11605938,1.05505354,0.33032207,447632,11.446418539325842,2.142160599290314,88.47926267281106,20.276497695852534,7.8341013824884795,64.0552995391705,15.668202764976959,39.26267281105991
PR,Permian Resources Corporation,11.86,7.39613737,1.17054243,1.8039702100000001,8994113,5.185848307333661,6.369017278505373,26.267281105990783,28.571428571428573,57.6036866359447,23.04147465437788,60.8294930875576,39.26267281105991
UA,"Under Armour, Inc.",8.92,12.6649455,2.01311833,0.72727886,2374238,10.169372486713574,1.6503540633011942,43.77880184331797,58.064516129032256,29.032258064516128,56.22119815668203,11.059907834101383,39.63133640552995
FLWS,"1-800-FLOWERS.COM, Inc.",10.71,208.48484848,1.30745286,0.30670413,380569,9.867932512490103,0.9356055703673021,97.6958525345622,34.56221198156682,7.373271889400922,54.83870967741935,5.529953917050691,40.0
DXLG,"Destination XL Group, Inc.",6.2,4.48291167,6.68977546,0.81633805,345168,7.752853362285404,2.4602666689635573,11.059907834101383,94.00921658986175,33.17972350230415,41.013824884792626,22.119815668202765,40.276497695852534
SLCA,"U.S. Silica Holdings, Inc.",13.92,13.49674837,1.46653389,0.68699496,858976,5.76874098502223,5.856978576329767,47.004608294930875,43.77880184331797,28.571428571428573,25.806451612903224,57.6036866359447,40.55299539170507
HTZ,"Hertz Global Holdings, Inc",18.77,5.62710825,2.2442036,0.85147381,2103145,5.172247161341431,6.455932762030323,20.276497695852534,64.0552995391705,35.02304147465438,22.580645161290324,61.75115207373272,40.73732718894009
OI,"O-I Glass, Inc.",23.44,6.32721929,2.53810709,0.53914837,760499,6.895537848605578,5.837369308600337,22.580645161290324,70.96774193548387,19.81566820276498,34.56221198156682,56.68202764976959,40.92165898617512
OMI,"Owens & Minor, Inc.",16.9,58.19730305,1.32293805,0.12555491,1520811,9.903572081233936,2.611829508288526,89.40092165898618,35.02304147465438,1.3824884792626728,55.76036866359447,23.963133640552996,41.10599078341014
NOMD,Nomad Foods Limited,17.79,11.5899748,1.09381052,0.9860363400000001,478199,9.11592418685471,5.80125935062482,41.013824884792626,23.502304147465438,38.70967741935484,49.30875576036866,55.76036866359447,41.65898617511521
PDCO,"Patterson Companies, Inc.",27.31,13.46643374,2.50619117,0.40894631000000004,669989,9.836870241819437,2.773466802473378,46.54377880184332,70.50691244239631,11.52073732718894,54.3778801843318,27.1889400921659,42.02764976958525
GPRO,"GoPro, Inc.",5.37,30.7424594,1.34231927,0.86405421,1028319,9.579072069586667,1.4224621353608131,78.3410138248848,36.866359447004605,35.483870967741936,51.61290322580645,8.294930875576037,42.11981566820276
INTC,Intel Corporation,26.4,13.42901076,1.06868678,1.71317601,36744758,7.954011306612463,4.693227390277726,46.08294930875576,21.19815668202765,55.29953917050691,43.77880184331797,45.6221198156682,42.396313364055295
SWIM,"Latham Group, Inc.",3.5,48.43517139,1.09770596,0.615742,445395,7.444694038004023,4.015016850591422,86.17511520737327,23.963133640552996,24.88479262672811,38.24884792626728,38.70967741935484,42.3963133640553
PUMP,ProPetro Holding Corp.,9.89,1081.81818182,1.14271036,0.79554465,2216639,3.841632149157726,4.075297741960688,99.53917050691244,25.34562211981567,31.797235023041473,15.2073732718894,41.013824884792626,42.58064516129032
ET,Energy Transfer LP,13.05,9.28448523,1.48550741,0.44623871,13324040,8.208730680697139,11.07241073408738,34.10138248847926,44.23963133640553,14.285714285714286,45.16129032258065,75.11520737327189,42.58064516129032
RES,"RPC, Inc.",9.72,9.50862155,2.40919433,1.27058685,977066,5.011477125185578,4.248566054385435,35.02304147465438,69.12442396313364,46.08294930875576,21.19815668202765,43.31797235023041,42.94930875576037
AGRO,Adecoagro S.A.,8.05,5.53654531,0.8883618,0.8920935400000001,475535,12.818432872243811,10.010662832550203,19.81566820276498,16.589861751152075,37.327188940092164,71.42857142857143,70.96774193548387,43.225806451612904
MD,"Pediatrix Medical Group, Inc.",15.95,19.67151454,1.45961363,0.66929231,567934,7.836705766521245,4.280535098760539,60.8294930875576,42.857142857142854,27.1889400921659,42.3963133640553,43.77880184331797,43.41013824884793
AVTA,"Avantax, Inc.",27.92,3.33474912,1.87930404,2.14369801,567385,7.739778941244909,5.427645964557293,5.529953917050691,56.22119815668203,66.3594470046083,40.55299539170507,51.61290322580645,44.055299539170505
IVZ,Invesco Ltd,17.9,11.8102288,0.71245803,1.3617401199999999,4579398,12.816150888115729,5.467178752766567,41.474654377880185,8.755760368663594,48.38709677419355,70.96774193548387,52.07373271889401,44.33179723502304
MRC,MRC Global Inc.,11.8,19.13405495,2.48993947,0.29006869,638525,10.382055555555555,3.06355737704918,59.44700460829493,70.04608294930875,5.529953917050691,58.986175115207374,28.571428571428573,44.516129032258064
WU,Western Union Company (The),12.83,5.49033002,10.05276529,1.11743529,5506871,6.20121502209131,4.059167319395072,18.433179723502302,97.23502304147465,41.474654377880185,28.571428571428573,40.55299539170507,45.25345622119816
NAVI,Navient Corporation,18.12,4.04806082,0.7824811700000001,0.67562549,971677,20.41057142857143,19.72187116564417,8.294930875576037,12.903225806451612,27.649769585253456,90.3225806451613,89.86175115207374,45.806451612903224
WNC,Wabash National Corporation,27.83,12.55504668,3.41849392,0.56835891,418544,7.07190235376703,4.894098673796155,42.857142857142854,80.18433179723502,23.04147465437788,35.944700460829495,47.004608294930875,45.806451612903224
BEN,"Franklin Resources, Inc.",29.59,14.78203367,1.26519893,1.73405261,1955686,10.319009222152479,3.583330538881996,50.23041474654378,32.25806451612903,55.76036866359447,57.6036866359447,34.10138248847926,45.99078341013825
PBI,Pitney Bowes Inc.,4.55,21.94417709,13.08389762,0.22845039,922209,7.92660595862615,2.372105379594806,65.43778801843318,98.61751152073732,4.147465437788019,43.31797235023041,19.81566820276498,46.26728110599078
UWMC,UWM Holdings Corporation,4.82,11.07777521,3.09527648,0.21253346,1367332,8.497245346943862,6.944843958287397,39.63133640552996,77.41935483870968,3.686635944700461,46.08294930875576,64.97695852534562,46.3594470046083
NWS,News Corporation,17.43,34.11141624,1.2359771,0.99215936,972562,9.223269230769231,3.146359064071725,82.48847926267281,31.336405529953918,39.1705069124424,50.23041474654378,29.953917050691246,46.63594470046083
TWO,Two Harbors Investment Corp,16.35,10.33644621,0.89962451,123.162858,792806,16.20891568032656,-138.25034043649478,38.24884792626728,17.05069124423963,100.0,80.64516129032258,1.3824884792626728,47.465437788018434
HDSN,"Hudson Technologies, Inc.",10.18,4.48229494,6.30950653,2.41978241,380242,2.81499835528668,5.841965451739285,10.599078341013826,92.62672811059907,71.42857142857143,7.8341013824884795,57.142857142857146,47.92626728110599
NWL,Newell Brands Inc.,14.53,27.96890185,1.6913055799999999,0.63499165,7939843,9.675282854656222,3.96042037762736,75.57603686635944,47.92626728110599,25.806451612903224,52.995391705069125,37.78801843317972,48.0184331797235
SIGA,SIGA Technologies Inc.,6.39,4.60384696,2.7972087,3.78954355,1073998,4.657168542558165,5.531424684475955,11.981566820276498,71.88940092165899,82.48847926267281,20.276497695852534,53.91705069124424,48.11059907834102
KMT,Kennametal Inc.,29.19,18.74348958,1.8694999399999999,1.20089471,473288,7.805324735363497,4.112264223117025,58.525345622119815,55.76036866359447,44.23963133640553,41.474654377880185,41.474654377880185,48.294930875576036
LEVI,Levi Strauss & Co,17.82,12.65337967,3.68974689,1.16769979,1789456,10.322873537238141,2.2761652602367333,43.31797235023041,83.41013824884793,42.3963133640553,58.064516129032256,17.51152073732719,48.94009216589862
MODG,Topgolf Callaway Brands Corp.,23.63,31.02808691,1.1473271999999999,1.17987987,989402,12.587487001733102,3.025359270212854,79.26267281105991,26.267281105990783,43.31797235023041,69.5852534562212,28.110599078341014,49.30875576036866
MRVI,"Maravai LifeSciences Holdings, Inc.",16.48,9.53503839,3.80908674,4.55995374,1921694,3.493241150182765,3.016573777775278,35.483870967741936,84.33179723502305,87.09677419354838,12.442396313364055,27.649769585253456,49.40092165898618
SGH,"SMART Global Holdings, Inc.",17.05,16770.0,2.19339262,0.50183203,193350,7.212066448877459,3.205154229729448,100.0,62.21198156682028,18.433179723502302,36.40552995391705,30.4147465437788,49.49308755760369
KOS,Kosmos Energy Ltd.,8.03,16.33705933,4.39784274,1.59691512,5978689,3.072963983395911,4.052782374185918,54.3778801843318,89.40092165898618,54.3778801843318,10.138248847926267,40.09216589861751,49.67741935483871
ATCO,Atlas Corp.,15.39,7.8460362,1.07274149,2.63617444,3073673,9.116005912496048,11.447403876039342,27.649769585253456,21.658986175115206,74.65437788018433,49.76958525345622,76.036866359447,49.953917050691246
GPS,"Gap, Inc. (The)",12.77,81.8822023,1.74323593,0.29385543000000003,5786610,24.775064267352185,1.448812387251954,92.16589861751152,50.23041474654378,6.451612903225806,93.08755760368663,8.755760368663594,50.13824884792626
RITM,Rithm Capital Corp.,9.06,5.01033346,0.74734679,2.12830706,2765109,12.865144965856572,19.320886809432654,13.824884792626728,11.52073732718894,65.89861751152074,71.88940092165899,88.94009216589862,50.414746543778804
HCSG,"Healthcare Services Group, Inc.",12.94,27.73722628,2.24608153,0.56835201,679006,10.377253494037697,3.584099836587558,74.65437788018433,64.51612903225806,22.580645161290324,58.525345622119815,34.56221198156682,50.96774193548387
PDM,"Piedmont Office Realty Trust, Inc.",9.23,7.7939567400000005,0.61864527,2.33626118,722678,10.92170825893784,27.89386240113119,27.1889400921659,4.608294930875576,70.04608294930875,59.90783410138249,95.85253456221199,51.52073732718894
VFC,V.F. Corporation,26.26,24.65766273,2.8915975400000002,0.8691795600000001,8922502,9.832719337497469,2.710096569201528,68.66359447004608,74.19354838709677,35.944700460829495,53.91705069124424,26.72811059907834,51.88940092165898
RUN,Sunrun Inc.,24.84,31.06796117,0.7560799300000001,2.23554259,5911623,-72.38348303639214,51.509570317981535,79.72350230414746,11.981566820276498,67.74193548387096,0.4608294930875576,99.53917050691244,51.88940092165898
CNM,"Core & Main, Inc.",24.28,11.2448467,3.00023137,0.79442578,1244020,8.980356357237131,7.1496847635726795,40.09216589861751,75.11520737327189,31.336405529953918,48.38709677419355,65.89861751152074,52.16589861751152
LBTYA,Liberty Global plc,20.37,52.46324478,0.41642764,1.4048325,827083,8.515276420345897,10.82955036748811,87.55760368663594,2.304147465437788,50.23041474654378,46.54377880184332,74.65437788018433,52.25806451612903
MAT,"Mattel, Inc.",18.06,16.35283364,3.08336105,1.18377722,1875076,9.75338789623197,3.425001081165682,54.83870967741935,76.95852534562212,43.77880184331797,53.45622119815668,32.71889400921659,52.35023041474654
VNT,Vontier Corporation,27.51,10.96035529,7.27910356,1.36003643,1290236,7.8253222572328855,4.036675286294791,39.1705069124424,94.47004608294931,47.92626728110599,41.935483870967744,39.1705069124424,52.534562211981566
NCR,NCR Corporation,25.78,84.86360612,2.37863462,0.45920602,636882,7.260287539936102,4.934788273615635,93.08755760368663,68.20276497695852,16.129032258064516,37.78801843317972,47.465437788018434,52.534562211981566
ARI,"Apollo Commercial Real Estate Finance, Inc",11.35,6.98230813,0.66224335,2.86188889,619732,13.056043290877973,15.024315722469765,24.42396313364055,6.912442396313364,76.95852534562212,72.35023041474655,82.48847926267281,52.62672811059908
CARG,"CarGurus, Inc.",17.46,44.71554994,2.83196979,1.3693667999999999,1660201,7.867830348316038,2.020399613126897,85.71428571428571,72.8110599078341,48.8479262672811,42.857142857142854,13.824884792626728,52.8110599078341
PK,Park Hotels & Resorts Inc.,14.07,19.3254078,0.72191354,1.27446621,1938111,11.763037974683545,15.341886792452831,60.36866359447004,9.216589861751151,46.54377880184332,66.3594470046083,83.41013824884793,53.17972350230415
GPK,Graphic Packaging Holding Company,24.58,14.48905759,3.4913217100000002,0.80096239,3227013,7.677666248431619,6.70586301369863,49.76958525345622,82.48847926267281,32.25806451612903,39.63133640552996,63.59447004608295,53.54838709677419
