Symbol,Name,Price,Volume,P/E,PE Percentile,P/B,PB Percentile,P/S,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/Revenue,EV/Revenue Percentile,RV Score
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,89.19,170407,9.09,,3.54,,0.77,,5.73,,0.86,,
AMNB,American National Bankshares Inc. Common Stock,32.6,1186,10.42,,1.11,,3.29,,,,,,
AMOT,Allied Motion Technologies Inc.,43.335,9368,45.01,,3.41,,1.44,,17.83,,1.96,,
AMP,Ameriprise Financial Inc. Common Stock,338.57,162960,15.23,,9.99,,2.73,,,,2.41,,
AMPE,Ampio Pharmaceuticals Inc.,0.2698,54116,,,0.31,,,,0.47,,,,
AMPG,Amplitech Group Inc. Common Stock,2.64,4328,28.77,,0.88,,1.54,,-9.45,,0.97,,
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,36.46,77235,21.01,,3.34,,3.84,,15.76,,3.39,,
AMPL,Amplitude Inc. Class A Common Stock,13.165,236654,,,4.98,,6.01,,-13.59,,5.24,,
AMPY,Amplify Energy Corp. Common Stock,10.0,347459,6.03,,27.71,,0.84,,5.91,,1.31,,
AMR,Alpha Metallurgical Resources Inc. Common Stock,174.28,75724,2.01,,1.72,,0.71,,1.26,,0.53,,
AMRC,Ameresco Inc. Class A Common Stock,43.5,228596,26.23,,2.94,,1.36,,17.34,,1.78,,
AMRK,A-Mark Precious Metals Inc. Common Stock,29.27,45516,4.72,,1.29,,0.09,,5.57,,0.16,,
AMRN,Amarin Corporation plc,2.0,1188391,,,1.25,,1.74,,-5.77,,1.04,,
AMRS,Amyris Inc. Common Stock,1.195,1324468,,,,,1.51,,-4.28,,5.04,,
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,1.955,1068799,,,1.06,,0.15,,23.96,,1.44,,
AMS,American Shared Hospital Services Common Stock,3.012,66582,16.45,,0.97,,1.11,,2.91,,1.21,,
AMSC,American Superconductor Corporation Common Stock,5.17,59578,,,1.82,,1.45,,-5.03,,1.34,,
AMST,Amesite Inc. Common Stock,2.77,31033,,,0.91,,8.12,,-0.03,,0.23,,
AMSWA,American Software Inc. Class A Common Stock,13.82,39530,42.47,,3.4,,3.61,,25.57,,2.76,,
AMTX,Aemetis Inc. (DE) Common Stock,3.595,160545,,,,,0.52,,-5.94,,1.42,,
AMV,Atlis Motor Vehicles Inc. Class A Common Stock,0.845,888742,,,20.51,,,,-0.21,,,,
AMWD,American Woodmark Corporation Common Stock,54.43,30953,11.19,,1.04,,0.42,,6.49,,0.66,,
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,20.93,243262,,,3.26,,,,0.42,,,,
AMZN,Amazon.com Inc. Common Stock,90.4813,22865363,,,6.61,,1.87,,27.0,,2.02,,
AN,AutoNation Inc. Common Stock,136.15,163667,5.73,,3.19,,0.29,,5.83,,0.48,,
ANDE,Andersons Inc. (The) Common Stock,46.18,71594,13.31,,1.29,,0.09,,6.06,,0.14,,
ANET,Arista Networks Inc. Common Stock,135.08,763237,32.45,,8.69,,10.01,,24.83,,9.01,,
ANF,Abercrombie & Fitch Company Common Stock,28.61,671618,73.08,,2.22,,0.42,,9.95,,0.65,,
ANIK,Anika Therapeutics Inc. Common Stock,31.47,12015,43.0,,1.64,,3.06,,-61.06,,2.6,,
ANIP,ANI Pharmaceuticals Inc.,44.18,12272,77.58,,2.31,,2.29,,-193.44,,3.44,,
ANIX,Anixa Biosciences Inc. Common Stock,4.8291,48343,,,5.23,,,,-8.86,,,,
ANSS,ANSYS Inc. Common Stock,305.2875,262482,49.95,,5.35,,12.67,,36.92,,12.74,,
ANVS,Annovis Bio Inc. Common Stock,16.4403,9136,,,4.63,,,,-3.77,,,,
ANY,Sphere 3D Corp. Common Shares,0.3881,414951,,,0.19,,5.21,,-0.59,,6.33,,
AON,Aon plc Class A Ordinary Shares (Ireland),301.04,248908,25.05,,,,5.19,,19.06,,5.84,,
AORT,Artivion Inc. Common Stock,13.6,64360,504.0,,1.85,,1.65,,32.8,,2.68,,
AOS,A.O. Smith Corporation Common Stock,67.085,245891,43.46,,5.67,,2.72,,31.57,,2.61,,
AOUT,American Outdoor Brands Inc. Common Stock ,9.51,2533,,,0.63,,0.59,,-2.87,,0.72,,
AP,Ampco-Pittsburgh Corporation Common Stock,2.784,998,,,0.81,,0.15,,9.79,,0.38,,
APA,APA Corporation Common Stock,40.02,1518482,3.55,,29.73,,1.18,,2.44,,1.61,,
APCX,AppTech Payments Corp. Common Stock,1.7599,32806,,,2.85,,70.06,,-1.79,,61.56,,
APD,Air Products and Chemicals Inc. Common Stock,290.945,292774,28.23,,4.56,,4.94,,16.14,,5.36,,
APDN,Applied DNA Sciences Inc. Common Stock,1.4047,8370,,,1.97,,0.75,,-0.57,,0.27,,
APE,AMC Entertainment Holdings Inc. AMC Preferred Equity Units each constituting a depositary share representing a 1/100th interest in a share of Series A Convertible Participating Preferred Stock,1.685,13486065,,,,,0.25,,-72.08,,3.62,,
APEI,American Public Education Inc. Common Stock,10.52,37292,,,0.71,,0.37,,-4.07,,0.56,,
APEN,Apollo Endosurgery Inc. Common Stock,9.935,66389,,,11.17,,5.52,,-15.6,,6.41,,
APH,Amphenol Corporation Common Stock,77.72,496009,25.33,,6.57,,3.81,,16.47,,3.9,,
APLD,Applied Digital Corporation Common Stock,2.695,55215,,,4.03,,7.72,,-8.33,,10.01,,
APLE,Apple Hospitality REIT Inc. Common Shares,16.705,258103,26.41,,1.2,,3.08,,13.6,,4.26,,
APO,Apollo Global Management Inc. (New) Common Stock,71.72,739390,,,,,4.87,,12.61,,-9.36,,
APOG,Apogee Enterprises Inc. Common Stock,46.04,32738,14.96,,2.73,,0.75,,9.56,,0.88,,
APP,Applovin Corporation Class A Common Stock,13.405,421393,,,2.63,,1.76,,12.08,,2.48,,
APPH,AppHarvest Inc. Common Stock,0.9999,607695,,,0.3,,7.38,,-1.6,,19.28,,
APPN,Appian Corporation Class A Common Stock,41.89,109031,,,21.22,,6.57,,-21.8,,6.58,,
APPS,Digital Turbine Inc. Common Stock,10.6275,737277,21.64,,1.76,,1.58,,8.84,,1.98,,
APRE,Aprea Therapeutics Inc. Common stock,5.2,3183,,,0.51,,,,0.46,,,,
APRN,Blue Apron Holdings Inc. Class A Common Stock,0.87,411336,,,1.27,,0.06,,-0.77,,0.15,,
APT,Alpha Pro Tech Ltd. Common Stock,4.16,6315,16.35,,0.85,,0.88,,7.11,,0.63,,
APTV,Aptiv PLC Ordinary Shares,115.46,751393,59.33,,3.58,,1.8,,18.74,,2.11,,
APVO,Aptevo Therapeutics Inc. Common Stock,2.1,27184,1.84,,0.65,,1.48,,0.07,,-0.26,,
APYX,Apyx Medical Corporation Common Stock,3.07,37676,,,2.47,,2.12,,-5.0,,1.84,,
AQB,AquaBounty Technologies Inc. Common Stock,0.7,109427,,,0.28,,17.82,,3.17,,-20.32,,
AQMS,Aqua Metals Inc. Common Stock,1.11,93895,,,3.74,,474.5,,-5.67,,480.44,,
AQN,Algonquin Power & Utilities Corp. Common Shares,7.565,1241635,107.71,,1.0,,1.93,,21.71,,4.92,,
AQUA,Evoqua Water Technologies Corp. Common Stock,47.84,470814,80.93,,8.13,,3.36,,27.65,,3.75,,
AR,Antero Resources Corporation Common Stock,26.415,1273152,4.58,,1.16,,1.05,,3.87,,1.53,,
ARAV,Aravive Inc. Common Stock,1.93,71842,,,8.15,,6.12,,-1.56,,11.49,,
ARAY,Accuray Incorporated Common Stock,2.95,58435,,,5.35,,0.65,,70.35,,1.0,,
ARC,ARC Document Solutions Inc. Common Stock,3.2399,63043,12.38,,0.9,,0.49,,4.93,,0.67,,
ARCB,ArcBest Corporation Common Stock,99.4,37637,8.23,,2.03,,0.46,,4.52,,0.46,,
ARCC,Ares Capital Corporation Common Stock,19.335,1125042,16.27,,1.08,,12.71,,10.19,,15.42,,
ARCH,Arch Resources Inc. Class A Common Stock,162.48,85377,2.55,,2.09,,0.92,,2.23,,0.74,,
ARCO,Arcos Dorados Holdings Inc. Class A Shares,8.205,148298,13.09,,7.19,,0.51,,7.75,,0.88,,
ARDS,Aridis Pharmaceuticals Inc. Common Stock,0.4901,185085,2.83,,5.4,,,,-0.91,,,,
ARE,Alexandria Real Estate Equities Inc. Common Stock,142.8,341995,47.1,,1.37,,9.35,,20.18,,13.78,,
