Symbol,Name,Price,Volume,P/E,PE Percentile,P/B,PB Percentile,P/S,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/Revenue,EV/Revenue Percentile,RV Score
SOUN,SoundHound AI Inc Class A Common Stock,2.5301,4286572,,,,,20.82,,-6.46,,21.65,,
SOVO,Sovos Brands Inc. Common Stock,13.12,26460,,,2.67,,1.65,,66.48,,2.17,,
SP,SP Plus Corporation Common Stock,34.71,14900,16.08,,2.98,,0.47,,10.74,,0.78,,
SPB,Spectrum Brands Holdings Inc. Common Stock,63.615,170737,,,2.12,,0.84,,51.38,,1.85,,
SPCE,Virgin Galactic Holdings Inc. Common Stock,4.92,5602742,,,2.12,,775.47,,-2.23,,525.47,,
SPG,Simon Property Group Inc. Common Stock,121.0,363800,18.73,,12.89,,7.56,,14.12,,12.24,,
SPGI,S&P Global Inc. Common Stock,337.09,355328,33.45,,3.09,,9.72,,20.36,,10.96,,
SPH,Suburban Propane Partners L.P. Common Stock,15.355,66349,6.01,,1.86,,0.65,,7.83,,1.45,,
SPI,SPI Energy Co. Ltd. Ordinary Shares,1.2999,15639,,,2.13,,0.2,,-3.66,,0.61,,
SPIR,Spire Global Inc. Class A Common Stock,1.03,129621,0.54,,1.2,,2.0,,4.03,,2.37,,
SPLK,Splunk Inc. Common Stock,102.56,2345538,,,,,5.0,,-39.91,,5.78,,
SPNT,SiriusPoint Ltd. Common Shares,7.15,118692,,,0.62,,0.53,,,,0.68,,
SPOK,Spok Holdings Inc. Common Stock,10.33,140627,9.44,,1.2,,1.53,,15.12,,1.34,,
SPOT,Spotify Technology S.A. Ordinary Shares,116.76,306709,,,8.83,,1.83,,-146.99,,1.77,,
SPPI,Spectrum Pharmaceuticals Inc.Common Stock,0.9106,919159,,,4.87,,,,-1.06,,,,
SPR,Spirit Aerosystems Holdings Inc. Common Stock,33.25,235233,10.09,,,,0.71,,165.1,,1.37,,
SPRU,Spruce Power Holding Corporation Class A Common Stock,0.8752,130721,,,0.41,,5.35,,-6.85,,16.93,,
SPTN,SpartanNash Company Common Stock,27.19,56522,28.67,,1.25,,0.1,,24.6,,0.18,,
SPWR,SunPower Corporation Common Stock,14.935,1224843,25.92,,4.63,,1.53,,17.69,,1.55,,
SPXC,SPX Technologies Inc. Common Stock,72.65,41487,69.84,,3.07,,2.46,,40.79,,2.31,,
SQ,Block Inc. Class A Common Stock,75.47,3670640,,,2.68,,2.53,,-226.97,,2.44,,
SQM,Sociedad Quimica y Minera S.A. Common Stock,85.1955,1869221,8.18,,5.46,,2.91,,5.4,,2.77,,
SQSP,Squarespace Inc. Class A Common Stock,22.96,68103,136.35,,,,3.84,,101.8,,4.24,,
SR,Spire Inc. Common Stock,69.68,58056,15.3,,1.41,,1.5,,12.33,,3.49,,
SRC,Spirit Realty Capital Inc. Common Stock,41.31,177554,20.09,,1.32,,7.82,,13.66,,13.5,,
SRCE,1st Source Corporation Common Stock,49.16,20669,10.24,,1.42,,3.45,,,,,,
SRCL,Stericycle Inc. Common Stock,46.91,125412,77.54,,1.8,,1.62,,16.12,,2.31,,
SRDX,Surmodics Inc. Common Stock,21.88,13847,,,2.88,,2.99,,-18.81,,3.1,,
SRG,Seritage Growth Properties Class A Common Stock,11.98,138933,,,1.07,,4.98,,94.72,,16.11,,
SRGA,Surgalign Holdings Inc. Common Stock,1.8,61197,,,1.89,,0.13,,-0.64,,0.24,,
SRI,Stoneridge Inc. Common Stock,21.64,41184,10.47,,2.43,,0.74,,31.65,,0.91,,
SRPT,Sarepta Therapeutics Inc. Common Stock (DE),149.915,1006958,,,33.28,,13.67,,-20.89,,13.32,,
SRT,StarTek Inc. Common Stock,3.85,1450,20.53,,0.83,,0.24,,6.59,,0.48,,
SRV,Cushing MLP & Infrastructure Total Return Fund,34.78,1934,4.21,,0.82,,4.13,,,,,,
SSB,SouthState Corporation Common Stock,78.4,90388,12.22,,1.21,,3.76,,,,,,
SSBI,Summit State Bank Common Stock,16.01,11,6.59,,1.27,,2.25,,,,,,
SSD,Simpson Manufacturing Company Inc. Common Stock,108.666,17621,13.9,,3.23,,2.19,,10.79,,2.32,,
SSKN,Strata Skin Sciences Inc. Common Stock,1.13,948,,,1.85,,1.16,,,,1.19,,
SSL,Sasol Ltd. American Depositary Shares,14.87,173552,4.36,,0.91,,0.62,,0.18,,0.05,,
SSNC,SS&C Technologies Holdings Inc. Common Stock,58.61,323625,23.67,,2.45,,2.91,,11.65,,4.1,,
SSNT,SilverSun Technologies Inc. Common Stock,3.37,11,,,1.83,,0.4,,9.34,,0.28,,
SSP,E.W. Scripps Company (The) Class A Common Stock,11.89,64652,7.55,,0.59,,0.44,,7.4,,1.8,,
SSRM,SSR Mining Inc. Common Stock,13.67,396691,15.63,,0.8,,2.7,,5.85,,2.25,,
SST,System1 Inc. Class A Common Stock,4.2,4290,,,0.6,,,,-57.55,,,,
SSTI,ShotSpotter Inc. Common Stock,35.06,3085,69.04,,7.18,,5.46,,-306.95,,5.33,,
SSTK,Shutterstock Inc. Common Stock,74.57,80274,36.16,,6.02,,3.32,,16.58,,3.22,,
SSY,SunLink Health Systems Inc. Common Stock,1.1401,2880,,,0.42,,0.18,,-3.27,,0.09,,
STAA,STAAR Surgical Company Common Stock,56.78,167691,72.68,,8.23,,9.84,,52.86,,8.98,,
STAG,Stag Industrial Inc. Common Stock,33.305,196524,32.99,,1.75,,8.98,,15.74,,12.82,,
STBA,S&T Bancorp Inc. Common Stock,36.675,18408,10.72,,1.22,,3.86,,,,,,
STC,Stewart Information Services Corporation Common Stock,40.96,34205,7.15,,0.85,,0.38,,,,0.49,,
STCN,Steel Connect Inc. Common Stock,1.22,3762,,,,,0.38,,5.66,,0.38,,
STE,STERIS plc (Ireland) Ordinary Shares,187.655,176249,,,3.09,,3.94,,27.75,,4.53,,
STEM,Stem Inc. Class A Common Stock,7.995,984757,,,2.31,,3.48,,-17.85,,4.1,,
STER,Sterling Check Corp. Common Stock,13.0,48134,41.83,,1.62,,1.59,,11.18,,2.13,,
STGW,Stagwell Inc. Class A Common Stock,7.805,1687831,24.25,,3.06,,0.35,,7.33,,0.94,,
STLD,Steel Dynamics Inc.,131.73,569783,6.03,,2.72,,1.05,,4.18,,1.03,,
STN,Stantec Inc Common Stock,58.31,24424,35.69,,3.84,,1.55,,11.38,,1.36,,
STNE,StoneCo Ltd. Class A Common Shares,8.265,2809868,,,1.08,,1.67,,0.83,,0.27,,
STNG,Scorpio Tankers Inc. Common Shares,59.47,399377,5.82,,1.43,,2.45,,5.06,,3.28,,
STRA,Strategic Education Inc. Common Stock,84.11,17848,42.92,,1.24,,1.88,,15.09,,1.94,,
STRL,Sterling Infrastructure Inc. Common Stock,41.01,120946,12.61,,2.57,,0.69,,7.19,,0.86,,
STRM,Streamline Health Solutions Inc. Common Stock,1.875,15356,12.14,,3.11,,3.63,,-22.78,,4.32,,
STRR,Star Equity Holdings Inc. Common Stock,0.84,6381,,,0.59,,0.09,,-5.41,,0.34,,
STRS,Stratus Properties Inc. Common Stock,21.57,9277,3.06,,0.81,,6.28,,3.38,,8.68,,
STRT,STRATTEC SECURITY CORPORATION Common Stock,21.2,1131,44.26,,0.45,,0.17,,4.52,,0.18,,
STT,State Street Corporation Common Stock,87.735,595128,12.33,,1.32,,2.71,,,,,,
STWD,STARWOOD PROPERTY TRUST INC. Starwood Property Trust Inc.,18.935,1258160,7.42,,0.93,,4.27,,,,,,
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),63.71,827264,22.73,,,,1.47,,13.1,,1.99,,
STXS,Stereotaxis Inc. Common Stock,2.61,24464,,,7.17,,6.94,,-10.36,,6.18,,
STZ,Constellation Brands Inc. Common Stock,220.42,163009,360.16,,4.83,,4.33,,38.63,,5.5,,
SU,Suncor Energy  Inc. Common Stock,34.66,6510888,7.18,,1.59,,1.12,,2.49,,0.95,,
SUI,Sun Communities Inc. Common Stock,140.2,155636,69.48,,2.21,,5.82,,21.8,,8.24,,
SUMO,Sumo Logic Inc. Common Stock,11.89,288284,,,3.83,,4.77,,-10.41,,3.94,,
SUN,Sunoco LP Common Units representing limited partner interests,45.6,100810,9.69,,4.05,,0.15,,9.02,,0.31,,
SUNW,Sunworks Inc. Common Stock,1.835,394264,,,0.93,,0.42,,-2.02,,0.39,,
SUP,Superior Industries International Inc. Common Stock (DE),5.82,284980,,,0.23,,0.09,,3.61,,0.37,,
SUPN,Supernus Pharmaceuticals Inc. Common Stock,38.8,96590,37.74,,2.4,,3.63,,14.0,,3.16,,
SVC,Service Properties Trust Common Stock,10.955,329100,640.5,,1.29,,0.95,,12.19,,3.97,,
SVM,Silvercorp Metals Inc. Common Shares,3.19,333236,22.62,,1.07,,2.44,,4.56,,1.43,,
SVRA,Savara Inc. Common Stock,2.505,46474,,,2.43,,,,-4.64,,,,
SVT,Servotronics Inc. Common Stock,10.65,145,,,0.78,,0.59,,-26.83,,0.53,,
SVVC,Firsthand Technology Value Fund Inc. Common Stock,0.96,2416,,,0.18,,,,-12.25,,-1.25,,
SWAG,Stran & Company Inc. Common Stock,1.8,16311,,,0.87,,0.63,,-7.04,,0.24,,
SWBI,Smith & Wesson Brands Inc. Common Stock,10.685,101857,6.18,,1.34,,0.88,,3.6,,0.86,,
SWIM,Latham Group Inc. Common Stock,3.185,55904,46.29,,0.95,,0.51,,9.26,,0.97,,
SWK,Stanley Black & Decker Inc. Common Stock,83.28,516226,80.76,,1.35,,0.79,,21.37,,1.2,,
SWKH,SWK Holdings Corporation Common Stock,18.68,511,14.08,,0.86,,5.12,,7.67,,4.17,,
SWKS,Skyworks Solutions Inc. Common Stock,109.78,287700,15.2,,3.2,,3.4,,9.02,,3.61,,
SWN,Southwestern Energy Company Common Stock,5.2975,6990952,3.25,,1.37,,0.4,,3.22,,0.7,,
SWX,Southwest Gas Holdings Inc. Common Stock (DE),59.95,293493,26.81,,1.24,,0.87,,7.34,,2.08,,
SWZ,Swiss Helvetia Fund Inc. (The) Common Stock,7.75,239,,,0.88,,,,,,,,
SXC,SunCoke Energy Inc. Common Stock,9.965,170424,8.34,,1.41,,0.43,,4.29,,0.64,,
SXI,Standex International Corporation Common Stock,117.77,14819,20.12,,2.61,,1.87,,11.99,,2.01,,
SXT,Sensient Technologies Corporation Common Stock,75.245,17506,22.45,,3.16,,2.2,,15.19,,2.63,,
SYBT,Stock Yards Bancorp Inc. Common Stock,56.76,15463,18.23,,2.25,,5.43,,,,,,
SYF,Synchrony Financial Common Stock,35.375,1586499,5.81,,1.29,,1.08,,,,,,
SYK,Stryker Corporation Common Stock,259.23,317617,42.61,,5.99,,5.45,,27.4,,6.0,,
SYM,Symbotic Inc. Class A Common Stock,14.5,865884,,,184.9,,1.33,,-2.98,,0.74,,
SYNA,Synaptics Incorporated Common Stock $0.001 Par Value,115.43,76062,20.38,,3.56,,2.73,,8.93,,2.75,,
SYPR,Sypris Solutions Inc. Common Stock,2.04,1092,,,2.61,,0.43,,15.92,,0.43,,
SYRS,Syros Pharmaceuticals Inc. Common Stock,3.695,62284,,,0.57,,1.13,,1.0,,-4.54,,
SYTA,Siyata Mobile Inc. Common Shares,0.1731,1010757,,,0.99,,0.36,,-1.01,,1.92,,
SYY,Sysco Corporation Common Stock,75.2,441042,26.92,,26.35,,0.52,,15.39,,0.67,,
T,AT&T Inc.,18.6309,8086652,19.47,,1.38,,1.19,,13.59,,2.37,,
TA,TravelCenters of America Inc. Common Stock,84.43,473709,9.62,,1.54,,0.12,,8.24,,0.28,,
TACT,TransAct Technologies Incorporated Common Stock,7.5,29879,59.14,,2.02,,1.31,,-10.57,,1.28,,
TAIT,Taitron Components Incorporated Class A Common Stock,3.75,4000,6.31,,1.39,,2.51,,5.92,,1.78,,
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock),15.315,775141,23.85,,1.06,,1.66,,0.07,,0.02,,
TAL,TAL Education Group American Depositary Shares,7.92,4097347,,,1.26,,3.67,,-11.57,,1.49,,
TALO,Talos Energy Inc. Common Stock,16.0,774636,2.88,,1.74,,0.78,,2.46,,1.52,,
TALS,Talaris Therapeutics Inc. Common Stock,2.01,48277,,,0.43,,,,1.56,,,,
TANH,Tantech Holdings Ltd. Common Shares,2.53,7050,33.5,,0.03,,0.02,,0.86,,0.03,,
TAOP,Taoping Inc. Ordinary Shares ,0.6342,25477,1.78,,0.67,,0.38,,2.26,,0.65,,
TAP,Molson Coors Beverage Company Class B Common Stock,52.88,250899,16.54,,0.9,,1.08,,20.06,,1.64,,
TASK,TaskUs Inc. Class A Common Stock,17.99,152575,46.24,,3.86,,1.93,,14.43,,2.02,,
TAYD,Taylor Devices Inc. Common Stock,17.115,1805,15.07,,1.3,,1.68,,6.35,,1.06,,
TBI,TrueBlue Inc. Common Stock,18.62,69880,10.08,,1.24,,0.28,,5.97,,0.27,,
TBLT,ToughBuilt Industries Inc. Common Stock,1.83,174625,,,0.5,,0.07,,-1.11,,0.32,,
TBPH,Theravance Biopharma Inc. Ordinary Shares,10.12,163506,,,1.48,,14.39,,-4.64,,7.81,,
TCBI,Texas Capital Bancshares Inc. Common Stock,64.1,81903,10.72,,1.16,,3.46,,,,,,
TCBK,TriCo Bancshares Common Stock,50.015,19040,13.36,,1.61,,4.49,,,,,,
TCI,Transcontinental Realty Investors Inc. Common Stock,44.232,734,0.94,,0.49,,11.74,,0.86,,14.11,,
TCN,Tricon Residential Inc. Common Shares,7.785,595096,3.21,,0.58,,3.23,,6.24,,10.63,,
TCRT,Alaunos Therapeutics Inc. Common Stock,0.535,360849,4.35,,4.5,,44.34,,-3.82,,45.39,,
TCS,Container Store (The) Common Stock,4.458,53421,4.07,,0.49,,0.2,,6.12,,0.72,,
TD,Toronto Dominion Bank (The) Common Stock,64.56,727094,9.6,,1.65,,3.6,,,,,,
TDC,Teradata Corporation Common Stock,39.17,659465,131.9,,15.98,,2.41,,18.62,,2.33,,
TDG,Transdigm Group Incorporated Common Stock,752.39,60672,50.43,,,,7.62,,22.11,,10.14,,
TDOC,Teladoc Health Inc. Common Stock,25.41,1415640,,,1.83,,1.74,,112.52,,2.02,,
TDS,Telephone and Data Systems Inc. Common Shares,11.934,759524,,,0.29,,0.26,,5.6,,1.27,,
TDUP,ThredUp Inc. Class A Common Stock,1.5,105211,,,1.01,,0.51,,-1.5,,0.39,,
TDY,Teledyne Technologies Incorporated Common Stock,427.61,20210,26.02,,2.47,,3.76,,17.67,,4.3,,
TEAM,Atlassian Corporation Class A Common Stock,163.1,619467,,,72.93,,13.17,,-301.12,,13.13,,
TECH,Bio-Techne Corp Common Stock,76.285,486091,45.19,,6.25,,10.55,,26.56,,10.28,,
TEF,Telefonica SA Common Stock,4.095,601139,12.63,,0.9,,0.56,,4.24,,1.57,,
TEI,Templeton Emerging Markets Income Fund Inc. Common Stock,5.17,66188,19.12,,0.9,,18.51,,,,,,
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,127.59,711189,18.19,,3.55,,2.52,,12.9,,2.68,,
TELL,Tellurian Inc. Common Stock,1.48,2473675,,,1.24,,1.99,,114.01,,2.45,,
TENX,Tenax Therapeutics Inc. Common Stock,0.6592,271780,,,1.52,,,,-0.21,,,,
TEO,Telecom Argentina SA,5.25,48153,21.38,,0.68,,1.31,,-0.1,,0.01,,
TER,Teradyne Inc. Common Stock,99.95,219385,23.97,,6.44,,5.44,,15.73,,4.76,,
TESS,TESSCO Technologies Incorporated Common Stock,4.76,3233,157.69,,0.56,,0.1,,28.63,,0.26,,
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,9.945,2638164,872.0,,1.39,,0.74,,-35.99,,1.99,,
TEX,Terex Corporation Common Stock,59.935,180295,13.89,,3.43,,0.94,,9.77,,1.02,,
TFC,Truist Financial Corporation Common Stock,45.13,1446373,10.6,,1.16,,2.73,,,,,,
TFII,TFI International Inc. Common Shares,124.455,42711,13.53,,4.29,,1.26,,7.81,,1.38,,
TFPM,Triple Flag Precious Metals Corp. Common Shares,13.76,82765,39.46,,2.1,,14.18,,44.14,,17.81,,
TFSL,TFS Financial Corporation Common Stock,14.155,90335,51.25,,2.17,,13.08,,,,,,
TFX,Teleflex Incorporated Common Stock,232.528,59742,30.46,,2.73,,3.96,,17.12,,4.48,,
TG,Tredegar Corporation Common Stock,11.66,10307,7.43,,1.94,,0.41,,5.89,,0.54,,
TGH,Textainer Group Holdings Limited Common Shares,33.035,72913,5.41,,0.85,,1.71,,9.23,,7.75,,
TGI,Triumph Group Inc. Common Stock,12.3,390846,9.21,,,,0.61,,8.58,,1.68,,
TGLS,Tecnoglass Inc. Ordinary Shares,39.7594,505667,14.37,,5.55,,2.72,,8.84,,2.85,,
TGNA,TEGNA Inc,16.95,699754,6.17,,1.26,,1.19,,5.74,,1.97,,
TGS,Transportadora de Gas del Sur SA TGS Common Stock,11.11,98960,16.45,,1.5,,3.88,,0.04,,0.02,,
TGT,Target Corporation Common Stock,163.3829,874848,27.16,,6.66,,0.69,,13.84,,0.84,,
TGTX,TG Therapeutics Inc. Common Stock,15.4783,802314,,,,,744.88,,-11.34,,765.86,,
THC,Tenet Healthcare Corporation Common Stock,58.24,308521,15.48,,5.24,,0.34,,6.57,,1.05,,
THFF,First Financial Corporation Indiana Common Stock,43.59,4825,7.55,,1.11,,2.54,,,,,,
THG,Hanover Insurance Group Inc,139.025,16938,43.18,,2.14,,0.92,,,,1.0,,
THMO,ThermoGenesis Holdings Inc. Common Stock,3.0736,19537,,,0.62,,0.11,,-1.77,,0.9,,
THO,Thor Industries Inc. Common Stock,91.24,122592,4.88,,1.35,,0.32,,3.71,,0.41,,
THRD,Third Harmonic Bio Inc. Common Stock,4.21,3192,,,0.58,,,,4.25,,,,
THRM,Gentherm Inc Common Stock,64.64,46654,88.05,,3.18,,1.79,,25.77,,1.86,,
THRN,Thorne Healthtech Inc. Common Stock,4.65,11039,31.4,,1.94,,1.13,,29.82,,1.19,,
THRX,Theseus Pharmaceuticals Inc. Common Stock,8.94,46418,,,1.57,,,,-2.84,,,,
THS,Treehouse Foods Inc. Common Stock,49.675,75350,,,1.62,,0.79,,20.77,,1.24,,
TIGR,UP Fintech Holding Ltd American Depositary Share representing fifteen Class A Ordinary Shares,3.7391,228330,,,1.31,,2.58,,-41.44,,1.95,,
TIL,Instil Bio Inc. Common Stock,0.7561,170178,,,0.24,,,,0.62,,,,
TILE,Interface Inc. Common Stock,9.29,146675,28.21,,1.5,,0.42,,8.94,,0.81,,
TIO,Tingo Group Inc. Common Stock,0.9085,77072,,,1.21,,2.2,,-2.04,,1.56,,
TIPT,Tiptree Inc. Common Stock,15.7701,9068,11.76,,1.52,,0.42,,14.41,,0.35,,
TISI,Team Inc. Common Stock,7.57,14361,,,,,0.03,,-101.46,,0.59,,
TITN,Titan Machinery Inc. Common Stock,45.92,85202,9.8,,2.04,,0.48,,8.38,,0.67,,
TIXT,TELUS International (Cda) Inc. Subordinate Voting Shares,21.5,9163,31.34,,3.1,,2.33,,12.0,,2.66,,
TJX,TJX Companies Inc. (The) Common Stock,76.545,1771649,25.79,,13.91,,1.81,,16.67,,1.92,,
TK,Teekay Corporation Common Stock,6.245,1045800,17.22,,0.98,,0.54,,1.97,,0.58,,
TKC,Turkcell Iletisim Hizmetleri AS Common Stock,4.125,88310,11.16,,2.81,,1.49,,0.29,,0.1,,
TKR,Timken Company (The) Common Stock,86.75,68957,15.59,,2.73,,1.41,,10.02,,1.76,,
TLF,Tandy Leather Factory Inc. Common Stock,4.54,131,45.11,,0.74,,0.47,,7.49,,0.55,,
TLK,PT Telekomunikasi Indonesia Tbk,25.685,94446,17.32,,3.17,,2.68,,0.0,,0.0,,
TLRY,Tilray Brands Inc. Class 2 Common Stock ,2.7199,3693253,57.5,,0.38,,2.5,,-5.06,,3.11,,
TLS,Telos Corporation Common Stock,3.945,184527,,,1.46,,1.11,,-4.4,,0.63,,
TM,Toyota Motor Corporation Common Stock,136.47,42058,10.44,,0.92,,0.71,,0.06,,0.01,,
TMBR,Timber Pharmaceuticals Inc. Common Stock,2.36,256158,,,1.02,,,,0.17,,,,
TMC,TMC the metals company Inc. Common Stock,1.01,558186,,,3.69,,,,-2.48,,,,
TMCI,Treace Medical Concepts Inc. Common Stock,20.8,52147,,,20.64,,9.2,,-32.15,,10.1,,
TMHC,Taylor Morrison Home Corporation Common Stock,35.385,166842,3.97,,0.84,,0.51,,3.88,,0.7,,
TMO,Thermo Fisher Scientific Inc Common Stock,541.63,295710,30.73,,4.75,,4.75,,19.66,,5.23,,
TMP,Tompkins Financial Corporation Common Stock,73.8,7890,12.7,,1.76,,3.49,,,,,,
TMQ,Trilogy Metals Inc. Common Stock,0.5626,40769,,,0.56,,,,-11.66,,,,
TMST,TimkenSteel Corporation Common Shares,19.0,90273,14.5,,1.21,,0.73,,3.79,,0.45,,
TMUS,T-Mobile US Inc. Common Stock,141.2,1293659,69.02,,2.49,,2.24,,13.73,,3.48,,
TNC,Tennant Company Common Stock,71.67,13818,20.56,,2.87,,1.25,,11.77,,1.46,,
TNET,TriNet Group Inc. Common Stock,83.18,115396,14.72,,6.39,,1.08,,7.85,,1.04,,
TNK,Teekay Tankers Ltd.,47.06,208732,6.97,,1.48,,1.5,,5.42,,1.86,,
TNL,Travel   Leisure Co. Common  Stock,42.01,91112,9.96,,,,0.99,,10.57,,2.37,,
TNP,Tsakos Energy Navigation Ltd Common Shares,23.852,250823,,,0.5,,0.86,,39.99,,2.71,,
TNXP,Tonix Pharmaceuticals Holding Corp. Common Stock,0.6923,232951,0.29,,0.18,,,,0.9,,,,
TNYA,Tenaya Therapeutics Inc. Common Stock,3.335,82887,,,1.1,,,,-0.74,,,,
TOL,Toll Brothers Inc. Common Stock,58.56,720738,5.19,,1.05,,0.66,,5.1,,0.87,,
TOMZ,TOMI Environmental Solutions Inc. Common Stock,0.66,8514,,,1.16,,1.81,,-2.99,,1.35,,
TOPS,TOP Ships Inc. Common Stock,0.88,1402826,,,0.19,,0.03,,14.23,,5.42,,
TOST,Toast Inc. Class A Common Stock,18.3199,2335240,,,8.77,,3.45,,-24.17,,3.19,,
TOUR,Tuniu Corporation American Depositary Shares,1.84,128131,,,1.42,,4.07,,-0.86,,0.27,,
TOVX,Theriva Biologics Inc. Common Stock,0.87,18092,,,0.25,,,,1.67,,,,
TOWN,TowneBank Common Stock,29.8331,20699,12.13,,1.25,,3.29,,,,,,
TPC,Tutor Perini Corporation Common Stock,8.5219,56009,,,0.29,,0.11,,32.54,,0.28,,
TPG,TPG Inc. Class A Common Stock,32.57,170397,,,5.12,,5.34,,,,,,
TPH,Tri Pointe Homes Inc. Common Stock,23.65,167950,4.27,,0.84,,0.57,,3.7,,0.68,,
TPHS,Trinity Place Holdings Inc. Common Stock,0.7601,13799,,,0.9,,0.62,,-73.63,,4.86,,
TPL,Texas Pacific Land Corporation Common Stock,1799.3,17803,31.08,,17.88,,20.78,,23.04,,19.94,,
TPR,Tapestry Inc. Common Stock,43.715,573160,12.91,,4.44,,1.66,,10.11,,1.93,,
TPST,Tempest Therapeutics Inc. Common Stock,1.6327,951,,,0.64,,,,0.28,,,,
TPX,Tempur Sealy International Inc. Common Stock,42.6,207534,16.89,,,,1.57,,13.2,,2.17,,
TR,Tootsie Roll Industries Inc. Common Stock,44.0801,13580,39.65,,3.84,,4.41,,21.08,,4.34,,
TRC,Tejon Ranch Co Common Stock,19.45,8915,30.47,,1.12,,6.92,,28.25,,6.77,,
TRDA,Entrada Therapeutics Inc. Common Stock,10.9,41839,,,1.73,,,,-2.45,,,,
TREE,LendingTree Inc. Common Stock,32.29,190239,20.25,,2.04,,0.43,,62.94,,1.05,,
TREX,Trex Company Inc. Common Stock,49.9,460729,30.55,,10.57,,5.1,,18.67,,5.17,,
TRGP,Targa Resources Inc. Common Stock,76.15,325210,19.66,,6.49,,0.84,,8.93,,1.37,,
TRI,Thomson Reuters Corp Ordinary Shares,120.9,93166,40.48,,4.8,,8.86,,20.38,,9.23,,
TRIB,Trinity Biotech plc American Depositary Shares,1.014,32957,,,6.26,,0.49,,-12.06,,1.21,,
TRIP,TripAdvisor Inc. Common Stock,20.985,407408,152.86,,3.5,,2.09,,14.06,,1.96,,
TRKA,Troika Media Group Inc. Common Stock,0.5653,167445612,,,2.32,,0.2,,-3.25,,0.33,,
TRMB,Trimble Inc. Common Stock,51.78,167718,28.92,,3.17,,3.54,,17.5,,3.87,,
TRMK,Trustmark Corporation Common Stock,28.88,61887,25.02,,1.2,,3.06,,,,,,
TRN,Trinity Industries Inc. Common Stock,27.63,82465,27.37,,2.24,,1.19,,12.76,,3.94,,
TRNS,Transcat Inc. Common Stock,89.02,37063,68.17,,7.14,,3.06,,28.7,,3.3,,
TROO,TROOPS Inc. Ordinary Shares ,3.0,2461,,,5.51,,78.31,,-39.51,,78.01,,
TROW,T. Rowe Price Group Inc. Common Stock,109.595,327497,16.76,,2.85,,3.93,,7.57,,3.66,,
TROX,Tronox Holdings plc Ordinary Shares (UK),16.025,371945,4.99,,1.03,,0.72,,7.12,,1.43,,
TRP,TC Energy Corporation Common Stock,40.44,481609,86.1,,1.75,,3.66,,13.78,,5.65,,
TRS,TriMas Corporation Common Stock,30.21,9656,18.93,,1.9,,1.42,,10.14,,1.78,,
TRST,TrustCo Bank Corp NY Common Stock,36.67,16692,9.47,,1.18,,3.57,,,,,,
TRT,Trio-Tech International Common Stock,4.4181,3989,9.62,,0.62,,0.4,,1.69,,0.24,,
TRTN,Triton International Limited Common Shares,68.93,48259,6.16,,1.57,,2.2,,8.61,,6.49,,
TRU,TransUnion Common Stock,64.315,409057,49.69,,3.01,,3.39,,15.63,,4.79,,
TRUE,TrueCar Inc. Common Stock,2.335,97422,,,1.04,,1.31,,-1.15,,0.32,,
TRUP,Trupanion Inc. Common Stock,57.84,99619,,,7.78,,2.61,,-76.62,,2.46,,
TRVN,Trevena Inc. Common Stock,1.0151,24248,,,0.36,,,,0.21,,29.52,,
TS,Tenaris S.A. American Depositary Shares,34.255,833833,7.8,,1.43,,1.69,,4.96,,1.61,,
TSAT,Telesat Corporation Class A Common Shares and Class B Variable Voting Shares ,8.995,23847,10.7,,0.35,,0.22,,4.08,,2.39,,
TSBK,Timberland Bancorp Inc. Common Stock,33.215,21337,10.93,,1.23,,4.06,,,,,,
TSCO,Tractor Supply Company Common Stock,226.515,249234,24.02,,12.57,,1.84,,16.73,,2.09,,
TSE,Trinseo PLC Ordinary Shares ,24.0,53945,,,1.93,,0.17,,-24.99,,0.6,,
TSI,TCW Strategic Income Fund Inc. Common Stock,4.9564,100409,,,0.96,,,,,,,,
TSLA,Tesla Inc. Common Stock,189.153,109973992,56.83,,14.56,,8.78,,35.93,,7.79,,
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,87.87,3431680,13.61,,4.7,,6.11,,0.26,,0.18,,
TSN,Tyson Foods Inc. Common Stock,58.525,1066514,8.8,,1.07,,0.4,,6.08,,0.54,,
TSP,TuSimple Holdings Inc. Class A Common Stock,1.735,1460360,,,0.36,,46.26,,1.56,,-79.63,,
TSRI,TSR Inc. Common Stock,8.35,2155,15.98,,1.19,,0.19,,4.79,,0.11,,
TSVT,2seventy bio Inc. Common Stock ,11.1,1017134,,,1.33,,8.13,,-1.3,,7.4,,
TT,Trane Technologies plc,185.265,421899,24.43,,6.96,,2.72,,16.91,,2.88,,
TTC,Toro Company (The) Common Stock,110.75,134671,26.37,,8.58,,2.59,,17.89,,2.76,,
TTCF,Tattooed Chef Inc Class A Common Stock,1.25,250828,,,0.72,,0.42,,-1.43,,0.56,,
TTD,The Trade Desk Inc. Class A Common Stock,54.76,973169,503.73,,12.86,,17.56,,154.74,,16.48,,
TTE,TotalEnergies SE,62.58,675948,7.89,,1.36,,0.61,,2.89,,0.65,,
